City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Birin,NP,2022-05-05 18:47:36,26.8865,88.0718,62.1,77,97,3.33
251,Coquimbo,CL,2022-05-05 18:43:16,-29.9533,-71.3436,60.53,72,75,11.5
252,Kavieng,PG,2022-05-05 18:47:37,-2.5744,150.7967,82.74,78,100,12.68
253,Gualeguay,AR,2022-05-05 18:47:37,-33.1416,-59.3097,70.92,43,1,8.21
254,Saint-Augustin,CA,2022-05-05 18:43:11,51.226,-58.6502,46.47,55,100,8.84
255,Homer,US,2022-05-05 18:47:38,59.6425,-151.5483,47.77,81,40,4.61
256,Dingle,PH,2022-05-05 18:47:39,10.9995,122.6711,77.41,87,93,6.26
257,Dobromir,RO,2022-05-05 18:47:39,44.0167,27.7833,51.57,67,5,7.0
258,Naze,JP,2022-05-05 18:47:40,28.3667,129.4833,67.12,89,100,10.16
259,Srednekolymsk,RU,2022-05-05 18:47:41,67.45,153.6833,26.37,92,100,4.47
260,Urucara,BR,2022-05-05 18:47:41,-2.5364,-57.76,83.82,78,98,3.51
261,Mokrousovo,RU,2022-05-05 18:47:42,55.8103,66.7653,55.67,38,100,11.68
262,Ajdabiya,LY,2022-05-05 18:47:42,30.7554,20.2263,75.54,28,0,5.64
263,Tura,IN,2022-05-05 18:47:43,25.5198,90.2201,69.15,92,4,4.16
264,Cap-Aux-Meules,CA,2022-05-05 18:47:43,47.3821,-61.8597,42.85,70,75,18.41
265,Molina,CL,2022-05-05 18:47:44,-35.1167,-71.2833,68.38,65,100,0.0
266,Kaltan,RU,2022-05-05 18:47:44,53.5347,87.2457,45.09,56,100,2.37
267,Maraa,BR,2022-05-05 18:47:45,-1.8333,-65.3667,84.25,71,78,1.07
268,Mwandiga,TZ,2022-05-05 18:47:46,-4.83,29.6581,72.81,77,82,4.21
269,Flin Flon,CA,2022-05-05 18:47:46,54.7682,-101.865,35.44,93,100,8.05
270,Miri,MY,2022-05-05 18:44:34,4.4148,114.0089,78.94,94,20,1.14
271,Abhar,IR,2022-05-05 18:48:47,36.1468,49.218,60.24,33,3,4.7
272,Ugoofaaru,MV,2022-05-05 18:48:48,5.6667,73.0,85.39,73,100,11.07
273,Ostrovnoy,RU,2022-05-05 18:48:48,68.0531,39.5131,16.99,88,4,9.42
274,Hobyo,SO,2022-05-05 18:48:49,5.3505,48.5268,84.27,78,4,22.55
275,Sitka,US,2022-05-05 18:48:49,57.0531,-135.33,44.49,76,75,3.44
276,Emba,KZ,2022-05-05 18:48:50,48.8264,58.1442,55.2,50,22,7.45
277,Hammerfest,NO,2022-05-05 18:48:06,70.6634,23.6821,37.85,75,75,4.61
278,Lavrentiya,RU,2022-05-05 18:48:51,65.5833,-171.0,17.6,86,6,3.22
279,Dengzhou,CN,2022-05-05 18:48:51,37.8086,120.7508,58.91,69,89,12.75
280,Guozhen,CN,2022-05-05 18:48:52,34.3659,107.359,67.26,61,2,4.36
281,Sidi Ali,DZ,2022-05-05 18:48:53,36.0998,0.4206,57.7,83,4,5.26
282,Maningrida,AU,2022-05-05 18:48:54,-12.0667,134.2667,76.23,83,100,9.86
283,Palmer,US,2022-05-05 18:48:54,42.1584,-72.3287,71.49,32,75,6.91
284,Finspang,SE,2022-05-05 18:48:55,58.7058,15.7674,56.71,69,100,5.37
285,Barreirinhas,BR,2022-05-05 18:48:55,-2.7469,-42.8264,82.4,82,33,8.59
286,Ternate,ID,2022-05-05 18:48:56,0.8,127.4,81.73,80,93,4.41
287,Arona,ES,2022-05-05 18:45:44,28.0996,-16.681,64.81,62,20,18.41
288,Tongchuan,CN,2022-05-05 18:48:57,35.0806,109.0897,67.19,37,15,3.15
289,Rabo De Peixe,PT,2022-05-05 18:48:57,37.8,-25.5833,63.91,77,20,13.8
290,Curup,ID,2022-05-05 18:48:58,-3.4667,102.5333,68.94,97,100,1.43
291,Panzhihua,CN,2022-05-05 18:48:58,26.5851,101.7128,66.2,76,74,1.34
292,Yulara,AU,2022-05-05 18:48:21,-25.2406,130.9889,44.44,57,0,5.75
